base_product,market,average_price
4 ЛУК КУТИЈА ЗА ХРАНА 17Л,Ramstore,215.0
4 ЛУК КУТИЈА ЗА ХРАНА 1Л,Ramstore,159.0
48 ДЕО ДЕО РОЛОН СЕНЗИТИВ 50МЛ,Ramstore,255.0
7ДЕЈС КРОАСАН  60ГР,Tinex,31.0
7ДЕЈС КРОАСАН МИДИ ЦРЕША 60ГР,Tinex,31.0
7ДЕЈС КРОАСАН ХАЗЕЛНУТ 80ГР,Tinex,41.0
EРВИК ЕЛЕКТРИЧЕН АПАРАТ  19МЛ,Ramstore,297.0
ЈАБОЛКОВ ОЦЕТ ЗДРАВО ЗА САЛАТА 500МЛ,Ramstore,82.0
ЈАБОЛКОВ ОЦЕТ ЗДРАВО ЗА ХОЛЕСТЕРОЛ 500МЛ,Ramstore,82.0
ЈАБОЛЧЕЛО ЈАБОЛКО 100% 3Л,Ramstore,265.0
ЈАБОЛЧЕЛО СОК ВИШНА/ЈАБОЛКО 100% 750МЛ,Tinex,140.0
ЈАКОБС МИЛКА 3 ВО 1  18ГР,Ramstore,22.0
ЈАМИ ТОРТИЉИ ИНТЕГРАЛНИ 390ГР,Tinex,96.0
ЈАМИ ТОРТИЉИ ОИГИНАЛ 390ГР,Tinex,89.0
ЈАМИ ТОРТИЉИ СПАНАЌ И ЧИА 390ГР,Tinex,105.0
"ЈАНА ВИТАМИН ЛИМОН 0,5Л",Ramstore,52.0
ЈАНА ВИТАМИН МЕНТА ЛИМЕТА 05Л,Ramstore,52.0
ЈАНА ВИТАМИН ПОРТОКАЛ 05Л,Ramstore,52.0
ЈАНА ВИТАМИН ПОРТОКАЛ 15Л,Ramstore,89.0
ЈАНА ВИТАМИН ЦРНА РИБИЗЛА 15Л,Ramstore,89.0
ЈАНА ЛЕДЕН ЧАЈ ЛИМОН ПЕТ 15Л,Ramstore,95.0
ЈАНА ЛЕДЕН ЧАЈ МАЛИНА-ХИБИСКУС ПЕТ 15Л,Ramstore,95.0
ЈАНА ЛЕДЕН ЧАЈ ПРАСКА 05Л,Ramstore,39.0
ЈАНА ЛЕДЕН ЧАЈ ПРАСКА ПЕТ 15Л,Ramstore,95.0
ЈАНА ЛЕДЕН ЧАЈ ШУМСКО ОВОШЈЕ ПЕТ 15Л,Ramstore,95.0
"ЈАНА МЕДО ВОДА СПОРТ ЧЕП 0,33Л",Ramstore,32.0
ЈАФА КРОФНА ЧОКО 75ГР,Ramstore,47.0
ЈЕГЕР МОЦАРЕЛА 250ГР,Ramstore,199.0
ЈЕГЕРМАЈСТЕР БИТЕР ЛИКЕР 05Л,Ramstore,759.0
ЈЕГЕРМАЈСТЕР БИТЕР ЛИКЕР 07Л,Ramstore,1039.0
ЈЕГЕРМАЈСТЕР БИТЕР ЛИКЕР 1Л,Ramstore,1399.0
ЈЕНИ РАКИЈА 07Л,Ramstore,1079.0
ЈОГУРТ БУЧЕН КОЗЈАК 500мл,Tinex,46.0
ЈУНИОР МАЈОНЕЗ 310ГР,Ramstore,105.0
ЏАМБО ЕНЕРЏИ МИКС 75ГР,Ramstore,123.0
ЏАМБО ПРОТЕИН МИКС 75ГР,Ramstore,123.0
ЏОНИ БИ ПЕНКАЛО 6МЛ,Ramstore,59.0
ЏОНИ ВОКЕР ВИСКИ РЕД 40% 1Л,Tinex,1399.0
ЏУСИ ЛЕДЕН ЧАЈ ПРАСКА 05Л,Ramstore,44.0
ЏУСИ ЛЕДЕН ЧАЈ ПРАСКА 15Л,Ramstore,82.0
ЏУСИ ЛЕДЕН ЧАЈ ШУМСКО ОВОШЈЕ 05Л,Ramstore,44.0
ЏУСИ ЛЕДЕН ЧАЈ ШУМСКО ОВОШЈЕ 15Л,Ramstore,82.0
АЈАКС ЗА СТАКЛО СИНО 750МЛ,Ramstore,159.0
АЈАКС ЗА СТАКЛО ФДФ ЗЕЛЕНО 750 МЛ,Ramstore,159.0
АЈАКС ЗА СТАКЛО ШАЈН 750МЛ,Ramstore,159.0
АБЕСКО ХОПЛА РАСТИТЕЛНА БЕЗ ШЕЌЕР 1Л,Ramstore,265.0
АБСОЛУТ ВОДКА БЛУ 07Л,Ramstore,899.0
АБСОЛУТ ВОДКА БЛУ 1Л,Ramstore,1139.0
АБСОЛУТ ВОДКА БЛУЕ 07Л,Ramstore,885.0
АБСОЛУТ ВОДКА ЦИТРОН 07Л,Ramstore,899.0
АБЦ КРЕМ СИР 100ГР,Tinex,81.0
АБЦ СУВА СЛИВА БЕЗ СЕМКА 200ГР,Tinex,159.0
АВАКС ГОЛД ОДМАСТУВАЧ 500МЛ,Tinex,115.0
АВАКС ЗА РЕРНИ И СКАРИ 500МЛ,Ramstore,95.0
АВАКС ЗА СТАКЛО 750МЛ,Ramstore,89.0
АВАКС ПРОТИВ МУВЛА 750мл,Tinex,149.0
АВАКС ПРОТИВ ФЛЕКИ 500МЛ,Ramstore,115.0
АВАКС ТЕЧНОСТ ЗА ПЕГЛАЊЕ 500МЛ,Ramstore,95.0
АГРАГОЛД ШЕЌЕР КАФЕАВ 800ГР,Tinex,85.0
АДРИАНА ТУНА ПАРЧЕ ВО МАСЛО И ЧИЛИ 170ГР,Ramstore,99.0
АИМ ПАСТА ЗА ЗАБИ ВАJТ НАУ ГОЛД 75 МЛ,Ramstore,195.0
АИМ ПАСТА ЗА ЗАБИ ВАЈТ НАУ 75МЛ,Ramstore,195.0
АИРВИК МИСТ АПАРАТ ЈАСМИН 20 МЛ,Ramstore,502.0
АИРВИК СВЕЌА КОЛАЧИЊА 105ГР,Tinex,225.0
АИРВИК ТЕЧНОСТ РЕФИЛ ТИРКИЗНА ОАЗА 19МЛ,Ramstore,242.0
АКВА ВИВА 075 Л,Ramstore,62.0
АКВА ВИВА 15Л,Ramstore,38.0
АКВА ВИВА РЕСТАРТ 075Л,Ramstore,48.0
АКВА ВИВА ХИДРОАКТИВ СПОРТ 075Л,Ramstore,48.0
АКВАФРЕШ ПAСТА ЗА ЗАБИ ОЛ ИН ОНЕ ПЈУР БРЕТХ 100МЛ,Ramstore,232.0
АКВАФРЕШ ПАСТА ЗА ЗАБИ МИЛД&МИНТИ 100МЛ,Ramstore,142.0
АКВАФРЕШ ПАСТА ЗА ЗАБИ ФРЕШ&МИНТИ 100МЛ,Ramstore,142.0
АКС ДЕО СПРЕЈ МОХИТО 150МЛ,Ramstore,152.0
АКТИВ 9+ АЛКАЛНА ВОДА 05Л,Ramstore,27.0
АЛВА СО КИКИРИКИ 270ГР,Tinex,76.0
АЛВА СО КИКИРИКИ И ГРОЗЈЕ 270ГР,Tinex,76.0
АЛВА ЧОКОЛАДНА  35ГР,Tinex,11.0
АЛЕВА ЦРВЕНА МЕЛЕНА ПИПЕРКА СЛАТКА 100ГР,Tinex,98.0
АЛЕКСАНДРОС БЛЕНД МАСЛИНОВО МАСЛО 1 Л,Ramstore,387.0
АЛЕКСАНДРОС ЕКСТРА ВИРЏИН МАСЛИН МАСЛО 075Л,Ramstore,979.0
АЛЕКСАНДРОС МАСЛИНОВО МАСЛО 05Л,Ramstore,382.0
АЛЕКСАНДРОС МАСЛИНОВО МАСЛО ЕКСТРА ПРЕМИУМ 500 МЛ,Ramstore,935.0
АЛЕКСАНДРОС МАСЛИНОВО МАСЛО ПОМАС 750МЛ,Ramstore,543.0
АЛКАЛОИД СОДА БИКАРБОНА 500ГР,Tinex,133.0
"АЛО МЛЕКО 0,5% мм 1Л",Tinex,90.0
АЛО МЛЕКО 35% MM 1Л,Ramstore,82.0
АЛО МЛЕКО 35% ММ 05Л,Ramstore,55.0
"АЛО МЛЕКО БЕЗ ЛАКТОЗА 1,5% мм 1Л",Tinex,99.0
АЛО МЛЕКО БЕЗ ЛАКТОЗА 15% ММ 1Л,Ramstore,95.0
АЛО МЛЕКО БЕЗ ЛАКТОЗА 15%ММ 200МЛ,Ramstore,42.0
АЛО МЛЕКО БЕЗ ЛАКТОЗА 35% ММ 1Л,Ramstore,95.0
АЛО МЛЕКО СО ВИТАМИНИ 15%ММ 1Л,Ramstore,99.0
АЛО ЧОКОЛАДНО МЛЕКО 200МЛ,Tinex,42.0
АЛО ЧОКОЛАДНО МЛЕКО 500МЛ,Ramstore,82.0
АЛОЕ ВЕРА КЛАСИК 500МЛ,Ramstore,102.0
АЛОЕ ВЕРА ПИЈАЛОК ЗЕЛЕН ЧАЈ 500МЛ,Ramstore,102.0
АЛОЕ ВЕРА ПИЈАЛОК КАЛИНКА 500МЛ,Ramstore,102.0
АЛОЕ ВЕРА ПИЈАЛОК ЛИМОН 500МЛ,Ramstore,102.0
АЛОЕ ВЕРА ПИЈАЛОК ЛУБЕНИЦА 500МЛ,Ramstore,102.0
АЛОМА ПРЕМИУМ СЛАДОЛЕД ТОПЕН ЛЕШНИК 900МЛ,Ramstore,349.0
АЛОМА ПРЕМИУМ СЛАДОЛЕД ШУМСКО ОВОШЈЕ 900МЛ,Ramstore,349.0
АЛОМА СЛАДОЛЕД  И КАРАМЕЛ СИРУП 900МЛ,Ramstore,249.0
АЛОМА СЛАДОЛЕД 3ВО1 КАКАО ЛЕШНИК БИСКВИТ900МЛ,Ramstore,249.0
АЛОМА СЛАДОЛЕД ДУПЛО  900МЛ,Ramstore,249.0
АЛОМА СЛАДОЛЕД ТРИКОЛОРЕ ЧОКО   900МЛ,Ramstore,249.0
АЛПРО НАПИТОК ОД  И БАДЕМ 1Л,Ramstore,175.0
АЛПРО НАПИТОК ОД  И БАДЕМ 1Л,Tinex,205.0
АЛПРО НАПИТОК ОД  ОРИГИНАЛ 1Л,Ramstore,175.0
АЛПРО НАПИТОК ОД  ОРИГИНАЛ 1Л,Tinex,205.0
АЛПРО НАПИТОК ОД БАДЕМ БЕЗ ШЕЌЕР 1Л,Tinex,205.0
АЛПРО НАПИТОК ОД БАДЕМ ОРИГИНАЛ 1Л,Tinex,205.0
АЛПРО НАПИТОК ОД ЛЕШНИК ОРИГИНАЛ 1Л,Ramstore,175.0
АЛПРО НАПИТОК ОД ЛЕШНИК ОРИГИНАЛ 1Л,Tinex,205.0
АЛПРО НАПИТОК ОД ОВЕС 1Л,Ramstore,175.0
АЛПРО НАПИТОК ОД СОЈА СО ВКУС НА  1Л,Ramstore,175.0
АЛЧЕ НЕРО ОРГАНСКО ДОМАТНО ПИРЕ 500ГР,Ramstore,219.0
АМЕ ТОАЛЕТЕН САПУН 100ГР,Ramstore,42.0
"АМСТЕЛ ПРЕМИУМ ПИВО 0,5 Л",Tinex,66.0
АМСТЕЛ ПРЕМИУМ СТАКЛО 05Л,Ramstore,59.0
АПЕРОЛ БИТЕР 07Л,Tinex,989.0
АПЕРОЛ ЛИКЕР 1Л,Ramstore,1289.0
АПЕТИСИМО ПОГАЧИЦА СО ШУНКА 480ГР,Tinex,99.0
АПЕТИСИМО ПОГАЧИЦИ ПРАЗНИ 360ГР,Tinex,80.0
АПЕТИСИМО ПОГАЧИЦИ СО СИРЕЊЕ 480ГР,Tinex,80.0
АРГЕТА ЗЕЛЕН НАМАЗ 95ГР,Tinex,83.0
АРГЕТА ЗЕЛЕНЧУКОВ НАМАЗ ОД ЦРНА МАСЛИНКА 95ГР,Ramstore,82.0
АРГЕТА НАМАЗ ЗЕЛЕНЧУКОВ ОД НАУТ 95ГР,Tinex,83.0
АРГЕТА НАМАЗ ОД ЦРНА МАСЛИНКА 95ГР,Tinex,83.0
АРГЕТА ПАШТЕТА АНТ 45ГР,Ramstore,38.0
АРГЕТА ПАШТЕТА АНТ ЕКСТРА ХОТ 95ГР,Tinex,64.0
АРГЕТА ПАШТЕТА КОКОШКИНИ ГРАДИ ЈУНИОР 95ГР,Tinex,58.0
АРГЕТА ПАШТЕТА ЛОВАЧКА 95ГР,Tinex,64.0
АРИЕЛ ГЕЛ ТЕЧЕН ДЕТЕРГЕНТ КОЛОР 2 Л,Ramstore,869.0
АРИЕЛ ДЕТЕРГЕНТ МОУНТ СПРИНГ 300ГР,Tinex,145.0
АРКО КРЕМА КЛАСИК 150МЛ,Ramstore,135.0
