product1,price1,market1,product2,price2,market2,score
РИСО ГАЛО ОРИЗ БАСМАТИ 500ГР,249,Ramstore,ОРИЗ РИСО ГАЛО БАСМАТИ 500ГР,245,Vero,0.99
ИМУНО ЦРВЕН ГРАВ ОРГАНСКИ 500ГР,289,Ramstore,ОВЕС ИМУНО ОРГАНСКИ ЛУПЕН 500ГР,279,Vero,0.87
ИМУНО ЦРВЕНА ЛЕЌА ОРГНАСКА 500ГР,325,Ramstore,ЛЕЌА ИМУНО ЦРВЕНА 500ГР,319,Vero,0.94
ИМУНО ПРОСО ОРГАНСКО 500ГР,269,Ramstore,ПРОСО ИМУНО ЗРНО 500ГР,278,Vero,0.89
ИМУНО ЛУПЕН ОВЕС ОРГАНСКИ 500ГР,272,Ramstore,ОВЕС ИМУНО ОРГАНСКИ ЛУПЕН 500ГР,279,Vero,0.99
ИМУНО ГРИЗ ОД СПЕЛТА ОРГАНСКА 500ГР,269,Ramstore,ГРИЗ ИМУНО ОД СПЕЛТА 500ГР,277,Vero,0.92
ТИКВЕШ СМЕДЕРЕВКА 0.5Л,125,Ramstore,ВИНО ТИКВЕШ СМЕДЕРЕВКА 0.5Л,123,Vero,0.85
ТИКВЕШ РОЗЕ 0.5Л,125,Ramstore,ВИНО ТИКВЕШ РОЗЕ 0.5Л,123,Vero,0.88
СКОПСКО ЛИМЕНКА 0.5Л,57,Ramstore,ПИВО СКОПСКО 0.5Л ЛИМЕНКА,57,Vero,0.88
ТУБОРГ ЛИМЕНКА 0.5Л,64,Ramstore,ПИВО ТУБОРГ ЛИМЕНКА 0.5Л,65,Vero,0.87
КАРЛСБЕРГ ЛИМЕНКА 0.5Л,82,Ramstore,ПИВО КАРЛСБЕРГ 0.5Л ЛИМЕНКА,81,Vero,0.89
АМСТЕЛ ПРЕМИУМ СТАКЛО 0.5Л,59,Ramstore,"АМСТЕЛ ПИВО СТАКЛО ПРЕМИУМ  0,5Л",58,Tinex,0.86
КОЗЕЛ ПИВО ПРЕМИУМ ЛИМ. 0.5Л,80,Ramstore,ПИВО КОЗЕЛ ЛИМЕНКА 0.5Л,79,Vero,0.89
КОЗЕЛ ПИВО ПРЕМИУМ ЛИМ. 0.5Л,80,Ramstore,ПИВО КОЗЕЛ ТЕМНО ЛИМЕНКА 0.5Л,79,Vero,0.88
БИРА МОРЕТИ ЛИМ 500МЛ,55,Ramstore,БИРА МОРЕТИ ПИВО ЛИМЕНКА 500МЛ,55,Tinex,0.87
БАВАРИА ПИВО ЛИМЕНКА 500МЛ,70,Ramstore,ПИВО БАВАРИА ЛИМЕНКА 5% 0.5Л,71,Vero,0.88
БАВАРИА ПИВО ЛИМЕНКА 500МЛ,70,Ramstore,ПИВО ХАЈНЕКЕН 0.5Л ЛИМЕНКА,69,Vero,0.86
СКОЛ ПИВО ЛИМ 0.5Л,65,Ramstore,ПИВО СКОЛ 0.5Л ЛИМЕНКА,65,Vero,0.93
СКОЛ ПИВО ЛИМ 0.5Л,65,Ramstore,ПИВО ТУБОРГ ЛИМЕНКА 0.5Л,65,Vero,0.87
БОВИН СВ.ТРИФУН ПРЕМИУМ 0.5Л,749,Ramstore,РАКИЈА БОВИН СВ.ТРИФУН ПРЕМИУМ 0.5Л,749,Vero,0.93
БАДЕЛ ПРИМА БРЕНДИ 0.5Л,415,Ramstore,"БРЕНДИ БАДЕЛ ПРИМА 0,5Л",399,Vero,0.92
ЈЕГЕРМАЈСТЕР БИТЕР ЛИКЕР 0.5Л,759,Ramstore,ЛИКЕР ЈЕГЕРМЕИСТЕР 0.5Л,749,Vero,0.86
ПАЛИНИ ЛИМОНЧЕЛО ЛИКЕР 0.5Л,789,Ramstore,ЛИКЕР ПАЛИНИ ЛИМОНЧЕЛО 0.5Л,779,Vero,1.0
АЛЕКСАНДРОС МАСЛИНОВО МАСЛО 0.5Л,382,Ramstore,МАСЛО МАСЛИНОВО АЛЕКСАНДРОС РАФИНИРАНО 0.5Л,395,Vero,0.94
МОНИНИ МАСЛИНОВО МАСЛО ЕКСТРА ВИРЏИН 0.5Л,599,Ramstore,"МАСЛО МАСЛИНОВО МОНИНИ КЛАСИК ЕКСТРА ВИРЏИН 0,5Л СТАКЛО",579,Vero,0.88
САЛВАДОРИ МАСЛИН. МАСЛО САНСА ДИ ОЛИВА 500МЛ,245,Ramstore,МАСЛО МАСЛИНОВО САЛВАДОРИ САНСА ДИ ОЛИВА 0.5Л,239,Vero,0.91
ОЛИТАЛИА МАСЛО ОД СЕМКИ ОД ГРОЗЈЕ 500МЛ,469,Ramstore,МАСЛО СЕМКИ ОД ГРОЗЈЕ  ОЛИТАЛИА 0.5Л СТАКЛО,466,Vero,0.9
АЛЕКСАНДРОС МАСЛИНОВО МАСЛО ЕКСТРА ПРЕМИУМ 500 МЛ,935,Ramstore,МАСЛО МАСЛИНОВО АЛЕКСАНДРОС ЕКСТРА ВИРЏИН ПРЕМИУМ 500МЛ,925,Vero,0.92
